[7/1000][2/11] Loss_D: 4.1454 Loss_G: 0.1253 D(x): 0.2869 D(G(z)): 0.9032 / 0.8881
[7/1000][3/11] Loss_D: 4.0386 Loss_G: 0.1274 D(x): 0.3207 D(G(z)): 0.9089 / 0.8870
[7/1000][4/11] Loss_D: 3.9784 Loss_G: 0.1113 D(x): 0.3436 D(G(z)): 0.9065 / 0.8980
[7/1000][5/11] Loss_D: 4.0665 Loss_G: 0.1046 D(x): 0.3039 D(G(z)): 0.9036 / 0.9038
[7/1000][6/11] Loss_D: 4.0826 Loss_G: 0.1323 D(x): 0.3169 D(G(z)): 0.9132 / 0.8815
[7/1000][7/11] Loss_D: 4.0650 Loss_G: 0.1586 D(x): 0.3067 D(G(z)): 0.9067 / 0.8620
[7/1000][8/11] Loss_D: 4.0694 Loss_G: 0.1254 D(x): 0.3043 D(G(z)): 0.9039 / 0.8880
[7/1000][9/11] Loss_D: 4.1834 Loss_G: 0.1280 D(x): 0.2970 D(G(z)): 0.9150 / 0.8840
[7/1000][10/11] Loss_D: 4.0018 Loss_G: 0.1105 D(x): 0.2956 D(G(z)): 0.9083 / 0.8993
[8/1000][0/11] Loss_D: 4.0820 Loss_G: 0.1320 D(x): 0.3108 D(G(z)): 0.9059 / 0.8830
[8/1000][1/11] Loss_D: 4.2097 Loss_G: 0.1195 D(x): 0.2910 D(G(z)): 0.9179 / 0.8928
[8/1000][2/11] Loss_D: 4.1934 Loss_G: 0.1370 D(x): 0.2940 D(G(z)): 0.9130 / 0.8782
[8/1000][3/11] Loss_D: 4.1879 Loss_G: 0.1064 D(x): 0.3070 D(G(z)): 0.9169 / 0.9035
[8/1000][4/11] Loss_D: 4.2273 Loss_G: 0.1229 D(x): 0.3046 D(G(z)): 0.9220 / 0.8900
[8/1000][5/11] Loss_D: 4.1061 Loss_G: 0.1160 D(x): 0.3048 D(G(z)): 0.9062 / 0.8960
[8/1000][6/11] Loss_D: 4.1589 Loss_G: 0.1417 D(x): 0.2938 D(G(z)): 0.9091 / 0.8772
[8/1000][7/11] Loss_D: 4.2291 Loss_G: 0.1146 D(x): 0.3004 D(G(z)): 0.9175 / 0.8957
[8/1000][8/11] Loss_D: 4.4639 Loss_G: 0.1227 D(x): 0.2670 D(G(z)): 0.9279 / 0.8896
[8/1000][9/11] Loss_D: 4.2570 Loss_G: 0.1213 D(x): 0.2653 D(G(z)): 0.9105 / 0.8924
[8/1000][10/11] Loss_D: 4.4121 Loss_G: 0.1011 D(x): 0.2745 D(G(z)): 0.9318 / 0.9072
[9/1000][0/11] Loss_D: 4.1483 Loss_G: 0.1240 D(x): 0.3029 D(G(z)): 0.9141 / 0.8892
[9/1000][1/11] Loss_D: 4.3971 Loss_G: 0.1199 D(x): 0.2591 D(G(z)): 0.9173 / 0.8908
[9/1000][2/11] Loss_D: 4.1686 Loss_G: 0.1301 D(x): 0.2841 D(G(z)): 0.9115 / 0.8840
[9/1000][3/11] Loss_D: 4.4021 Loss_G: 0.1260 D(x): 0.2781 D(G(z)): 0.9183 / 0.8884
[9/1000][4/11] Loss_D: 4.4401 Loss_G: 0.1053 D(x): 0.2621 D(G(z)): 0.9210 / 0.9037
[9/1000][5/11] Loss_D: 4.2979 Loss_G: 0.1268 D(x): 0.2950 D(G(z)): 0.9231 / 0.8873
[9/1000][6/11] Loss_D: 4.2846 Loss_G: 0.1215 D(x): 0.2721 D(G(z)): 0.9201 / 0.8903
[9/1000][7/11] Loss_D: 4.3314 Loss_G: 0.1334 D(x): 0.2564 D(G(z)): 0.9146 / 0.8813
[9/1000][8/11] Loss_D: 4.3144 Loss_G: 0.1166 D(x): 0.2639 D(G(z)): 0.9127 / 0.8945
[9/1000][9/11] Loss_D: 4.3436 Loss_G: 0.1135 D(x): 0.2625 D(G(z)): 0.9184 / 0.8966
[9/1000][10/11] Loss_D: 4.4104 Loss_G: 0.1004 D(x): 0.2587 D(G(z)): 0.9288 / 0.9095
[10/1000][0/11] Loss_D: 4.4761 Loss_G: 0.1340 D(x): 0.2520 D(G(z)): 0.9234 / 0.8800
[10/1000][1/11] Loss_D: 4.3918 Loss_G: 0.1124 D(x): 0.2671 D(G(z)): 0.9220 / 0.8986
[10/1000][2/11] Loss_D: 4.4450 Loss_G: 0.1153 D(x): 0.2565 D(G(z)): 0.9228 / 0.8958
[10/1000][3/11] Loss_D: 4.3794 Loss_G: 0.1118 D(x): 0.2638 D(G(z)): 0.9161 / 0.8993
[10/1000][4/11] Loss_D: 4.2282 Loss_G: 0.1122 D(x): 0.2589 D(G(z)): 0.9084 / 0.8990
[10/1000][5/11] Loss_D: 4.4163 Loss_G: 0.1188 D(x): 0.2491 D(G(z)): 0.9261 / 0.8934
[10/1000][6/11] Loss_D: 4.2575 Loss_G: 0.1143 D(x): 0.2609 D(G(z)): 0.9150 / 0.8956
[10/1000][7/11] Loss_D: 4.4287 Loss_G: 0.1248 D(x): 0.2607 D(G(z)): 0.9217 / 0.8876
[10/1000][8/11] Loss_D: 4.2750 Loss_G: 0.1198 D(x): 0.2564 D(G(z)): 0.9086 / 0.8921
[10/1000][9/11] Loss_D: 4.4384 Loss_G: 0.1301 D(x): 0.2399 D(G(z)): 0.9224 / 0.8838
[10/1000][10/11] Loss_D: 4.5540 Loss_G: 0.1451 D(x): 0.2318 D(G(z)): 0.9155 / 0.8715
[11/1000][0/11] Loss_D: 4.4055 Loss_G: 0.1213 D(x): 0.2499 D(G(z)): 0.9183 / 0.8907
[11/1000][1/11] Loss_D: 4.6049 Loss_G: 0.0955 D(x): 0.2653 D(G(z)): 0.9376 / 0.9123
[11/1000][2/11] Loss_D: 4.5758 Loss_G: 0.1064 D(x): 0.2269 D(G(z)): 0.9301 / 0.9036
[11/1000][3/11] Loss_D: 4.5928 Loss_G: 0.1176 D(x): 0.2135 D(G(z)): 0.9213 / 0.8933
[11/1000][4/11] Loss_D: 4.3393 Loss_G: 0.1156 D(x): 0.2451 D(G(z)): 0.9128 / 0.8953
[11/1000][5/11] Loss_D: 4.3273 Loss_G: 0.1256 D(x): 0.2414 D(G(z)): 0.9135 / 0.8874
[11/1000][6/11] Loss_D: 4.3586 Loss_G: 0.1228 D(x): 0.2599 D(G(z)): 0.9172 / 0.8914
[11/1000][7/11] Loss_D: 4.4769 Loss_G: 0.1310 D(x): 0.2103 D(G(z)): 0.9088 / 0.8836
[11/1000][8/11] Loss_D: 4.4601 Loss_G: 0.1133 D(x): 0.2430 D(G(z)): 0.9201 / 0.8968
[11/1000][9/11] Loss_D: 4.6348 Loss_G: 0.1226 D(x): 0.2386 D(G(z)): 0.9295 / 0.8910
[11/1000][10/11] Loss_D: 4.3754 Loss_G: 0.1142 D(x): 0.2713 D(G(z)): 0.9189 / 0.8960
[12/1000][0/11] Loss_D: 4.5773 Loss_G: 0.1155 D(x): 0.2097 D(G(z)): 0.9226 / 0.8951
[12/1000][1/11] Loss_D: 4.4138 Loss_G: 0.1134 D(x): 0.2376 D(G(z)): 0.9160 / 0.8964
[12/1000][2/11] Loss_D: 4.5063 Loss_G: 0.1090 D(x): 0.2251 D(G(z)): 0.9271 / 0.9005
[12/1000][3/11] Loss_D: 4.4708 Loss_G: 0.1264 D(x): 0.2278 D(G(z)): 0.9186 / 0.8864
[12/1000][4/11] Loss_D: 4.6974 Loss_G: 0.1323 D(x): 0.2091 D(G(z)): 0.9290 / 0.8803
